MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Mestrado,Ciências Agrárias,2009,5217
Mestrado,Ciências Agrárias,2010,6022
Mestrado,Ciências Agrárias,2011,6334
Mestrado,Ciências Agrárias,2012,6873
Mestrado,Ciências Agrárias,2013,7290
Mestrado,Ciências Agrárias,2014,8267
Mestrado,Ciências Agrárias,2015,8711
Mestrado,Ciências Agrárias,2016,9127
Mestrado,Ciências Agrárias,2017,9392
Mestrado,Ciências Biológicas,2009,4813
Mestrado,Ciências Biológicas,2010,5490
Mestrado,Ciências Biológicas,2011,5769
Mestrado,Ciências Biológicas,2012,6157
Mestrado,Ciências Biológicas,2013,6524
Mestrado,Ciências Biológicas,2014,7122
Mestrado,Ciências Biológicas,2015,7589
Mestrado,Ciências Biológicas,2016,8025
Mestrado,Ciências Biológicas,2017,8219
Mestrado,Ciências da Saúde,2009,6425
Mestrado,Ciências da Saúde,2010,7282
Mestrado,Ciências da Saúde,2011,7701
Mestrado,Ciências da Saúde,2012,8151
Mestrado,Ciências da Saúde,2013,8734
Mestrado,Ciências da Saúde,2014,9321
Mestrado,Ciências da Saúde,2015,9907
Mestrado,Ciências da Saúde,2016,10515
Mestrado,Ciências da Saúde,2017,10687
Mestrado,Ciências Exatas e da Terra,2009,6462
Mestrado,Ciências Exatas e da Terra,2010,7102
Mestrado,Ciências Exatas e da Terra,2011,7609
Mestrado,Ciências Exatas e da Terra,2012,8229
Mestrado,Ciências Exatas e da Terra,2013,8845
Mestrado,Ciências Exatas e da Terra,2014,10038
Mestrado,Ciências Exatas e da Terra,2015,10478
Mestrado,Ciências Exatas e da Terra,2016,10883
Mestrado,Ciências Exatas e da Terra,2017,11289
Mestrado,Ciências Humanas,2009,5005
Mestrado,Ciências Humanas,2010,5630
Mestrado,Ciências Humanas,2011,5958
Mestrado,Ciências Humanas,2012,6365
Mestrado,Ciências Humanas,2013,6827
Mestrado,Ciências Humanas,2014,7646
Mestrado,Ciências Humanas,2015,8074
Mestrado,Ciências Humanas,2016,8331
Mestrado,Ciências Humanas,2017,8645
Mestrado,Ciências Sociais Aplicadas,2009,9304
Mestrado,Ciências Sociais Aplicadas,2010,9992
Mestrado,Ciências Sociais Aplicadas,2011,10488
Mestrado,Ciências Sociais Aplicadas,2012,11086
Mestrado,Ciências Sociais Aplicadas,2013,11640
Mestrado,Ciências Sociais Aplicadas,2014,12413
Mestrado,Ciências Sociais Aplicadas,2015,13337
Mestrado,Ciências Sociais Aplicadas,2016,13858
Mestrado,Ciências Sociais Aplicadas,2017,14179
Mestrado,Engenharias,2009,7887
Mestrado,Engenharias,2010,8723
Mestrado,Engenharias,2011,9337
Mestrado,Engenharias,2012,10060
Mestrado,Engenharias,2013,10887
Mestrado,Engenharias,2014,12371
Mestrado,Engenharias,2015,12645
Mestrado,Engenharias,2016,13206
Mestrado,Engenharias,2017,13475
Mestrado,"Linguística, Letras e Artes",2009,4301
Mestrado,"Linguística, Letras e Artes",2010,4960
Mestrado,"Linguística, Letras e Artes",2011,5270
Mestrado,"Linguística, Letras e Artes",2012,5633
Mestrado,"Linguística, Letras e Artes",2013,6068
Mestrado,"Linguística, Letras e Artes",2014,6805
Mestrado,"Linguística, Letras e Artes",2015,7375
Mestrado,"Linguística, Letras e Artes",2016,7615
Mestrado,"Linguística, Letras e Artes",2017,8026
Mestrado,Multidisciplinar,2009,6016
Mestrado,Multidisciplinar,2010,6721
Mestrado,Multidisciplinar,2011,7127
Mestrado,Multidisciplinar,2012,7592
Mestrado,Multidisciplinar,2013,7998
Mestrado,Multidisciplinar,2014,8867
Mestrado,Multidisciplinar,2015,9184
Mestrado,Multidisciplinar,2016,9478
Mestrado,Multidisciplinar,2017,9641
