MODALIDADE,ÁREA DE CONHECIMENTO,ANO,REMUNERAÇÃO MÉDIA
Mestrado,Ciências Agrárias,2009,"5.217,20"
Mestrado,Ciências Agrárias,2010,"6.021,55"
Mestrado,Ciências Agrárias,2011,"6.333,73"
Mestrado,Ciências Agrárias,2012,"6.872,90"
Mestrado,Ciências Agrárias,2013,"7.290,23"
Mestrado,Ciências Agrárias,2014,"8.266,90"
Mestrado,Ciências Agrárias,2015,"8.710,54"
Mestrado,Ciências Agrárias,2016,"9.126,69"
Mestrado,Ciências Agrárias,2017,"9.391,73"
Mestrado,Ciências Biológicas,2009,"4.812,92"
Mestrado,Ciências Biológicas,2010,"5.489,85"
Mestrado,Ciências Biológicas,2011,"5.768,90"
Mestrado,Ciências Biológicas,2012,"6.157,41"
Mestrado,Ciências Biológicas,2013,"6.524,40"
Mestrado,Ciências Biológicas,2014,"7.121,71"
Mestrado,Ciências Biológicas,2015,"7.589,30"
Mestrado,Ciências Biológicas,2016,"8.025,20"
Mestrado,Ciências Biológicas,2017,"8.219,05"
Mestrado,Ciências da Saúde,2009,"6.425,05"
Mestrado,Ciências da Saúde,2010,"7.282,09"
Mestrado,Ciências da Saúde,2011,"7.701,48"
Mestrado,Ciências da Saúde,2012,"8.150,57"
Mestrado,Ciências da Saúde,2013,"8.734,47"
Mestrado,Ciências da Saúde,2014,"9.321,36"
Mestrado,Ciências da Saúde,2015,"9.907,26"
Mestrado,Ciências da Saúde,2016,"10.514,63"
Mestrado,Ciências da Saúde,2017,"10.687,20"
Mestrado,Ciências Exatas e da Terra,2009,"6.461,68"
Mestrado,Ciências Exatas e da Terra,2010,"7.101,65"
Mestrado,Ciências Exatas e da Terra,2011,"7.609,48"
Mestrado,Ciências Exatas e da Terra,2012,"8.229,12"
Mestrado,Ciências Exatas e da Terra,2013,"8.844,58"
Mestrado,Ciências Exatas e da Terra,2014,"10.037,88"
Mestrado,Ciências Exatas e da Terra,2015,"10.478,33"
Mestrado,Ciências Exatas e da Terra,2016,"10.882,61"
Mestrado,Ciências Exatas e da Terra,2017,"11.289,12"
Mestrado,Ciências Humanas,2009,"5.005,43"
Mestrado,Ciências Humanas,2010,"5.630,20"
Mestrado,Ciências Humanas,2011,"5.958,32"
Mestrado,Ciências Humanas,2012,"6.364,95"
Mestrado,Ciências Humanas,2013,"6.827,26"
Mestrado,Ciências Humanas,2014,"7.646,02"
Mestrado,Ciências Humanas,2015,"8.074,09"
Mestrado,Ciências Humanas,2016,"8.330,80"
Mestrado,Ciências Humanas,2017,"8.644,54"
Mestrado,Ciências Sociais Aplicadas,2009,"9.303,66"
Mestrado,Ciências Sociais Aplicadas,2010,"9.992,21"
Mestrado,Ciências Sociais Aplicadas,2011,"10.487,54"
Mestrado,Ciências Sociais Aplicadas,2012,"11.086,23"
Mestrado,Ciências Sociais Aplicadas,2013,"11.639,59"
Mestrado,Ciências Sociais Aplicadas,2014,"12.412,78"
Mestrado,Ciências Sociais Aplicadas,2015,"13.336,65"
Mestrado,Ciências Sociais Aplicadas,2016,"13.857,93"
Mestrado,Ciências Sociais Aplicadas,2017,"14.179,38"
Mestrado,Engenharias,2009,"7.886,80"
Mestrado,Engenharias,2010,"8.722,59"
Mestrado,Engenharias,2011,"9.337,19"
Mestrado,Engenharias,2012,"10.059,88"
Mestrado,Engenharias,2013,"10.886,90"
Mestrado,Engenharias,2014,"12.370,55"
Mestrado,Engenharias,2015,"12.645,37"
Mestrado,Engenharias,2016,"13.205,97"
Mestrado,Engenharias,2017,"13.474,55"
Mestrado,"Linguística, Letras e Artes",2009,"4.300,95"
Mestrado,"Linguística, Letras e Artes",2010,"4.960,18"
Mestrado,"Linguística, Letras e Artes",2011,"5.269,54"
Mestrado,"Linguística, Letras e Artes",2012,"5.633,44"
Mestrado,"Linguística, Letras e Artes",2013,"6.067,68"
Mestrado,"Linguística, Letras e Artes",2014,"6.805,30"
Mestrado,"Linguística, Letras e Artes",2015,"7.374,56"
Mestrado,"Linguística, Letras e Artes",2016,"7.614,80"
Mestrado,"Linguística, Letras e Artes",2017,"8.025,77"
Mestrado,Multidisciplinar,2009,"6.016,10"
Mestrado,Multidisciplinar,2010,"6.721,36"
Mestrado,Multidisciplinar,2011,"7.127,05"
